Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
11/03/2012,Werder Bremen,Hannover,3,0,H,1,0,H,2,3.5,3.6,2,3.5,3.5
16/03/2012,Hoffenheim,Stuttgart,1,2,A,0,2,A,2.3,3.4,3,2.4,3.3,3
17/03/2012,Augsburg,Mainz,2,1,H,1,1,D,2.9,3.3,2.4,3.1,3.2,2.4
17/03/2012,Dortmund,Werder Bremen,1,0,H,1,0,H,1.33,5,9,1.36,4.75,8
17/03/2012,Hamburg,Freiburg,1,3,A,0,2,A,1.83,3.75,4,1.72,3.7,4.6
17/03/2012,Hertha,Bayern Munich,0,6,A,0,3,A,9,5,1.33,9.25,4.75,1.33
17/03/2012,Leverkusen,M'gladbach,1,2,A,0,1,A,2.1,3.4,3.4,2.2,3.25,3.5
17/03/2012,Nurnberg,Wolfsburg,1,3,A,1,2,A,2,3.4,3.75,2.05,3.3,3.6
18/03/2012,Hannover,FC Koln,4,1,H,1,1,D,1.62,3.8,5.5,1.57,4,6
18/03/2012,Kaiserslautern,Schalke 04,1,4,A,1,2,A,3.5,3.3,2.1,3.4,3.25,2.15
23/03/2012,Wolfsburg,Hamburg,2,1,H,0,0,D,2.05,3.5,3.4,2.05,3.6,3.5
24/03/2012,Bayern Munich,Hannover,2,1,H,1,0,H,1.17,7,15,1.18,7,12.5
24/03/2012,Freiburg,Kaiserslautern,2,0,H,2,0,H,2,3.4,3.75,2.05,3.3,3.8
24/03/2012,Mainz,Hertha,1,3,A,0,1,A,1.73,3.5,5,1.75,3.5,5.25
24/03/2012,M'gladbach,Hoffenheim,1,2,A,1,0,H,1.67,3.6,5.25,1.62,3.7,5.5
24/03/2012,Schalke 04,Leverkusen,2,0,H,1,0,H,1.91,3.6,3.75,1.95,3.5,3.7
24/03/2012,Werder Bremen,Augsburg,1,1,D,0,0,D,1.8,3.5,4.5,1.78,3.5,4.5
25/03/2012,FC Koln,Dortmund,1,6,A,1,1,D,8,4.5,1.4,6.5,4.75,1.42
25/03/2012,Stuttgart,Nurnberg,1,0,H,0,0,D,1.83,3.5,4.33,1.83,3.7,4.25
30/03/2012,Dortmund,Stuttgart,4,4,D,1,0,H,1.29,5.5,10,1.3,5.25,9
31/03/2012,Augsburg,FC Koln,2,1,H,2,1,H,2,3.4,3.75,1.95,3.4,3.8
31/03/2012,Hertha,Wolfsburg,1,4,A,1,2,A,2.4,3.3,2.9,2.4,3.5,2.9
31/03/2012,Kaiserslautern,Hamburg,0,1,A,0,1,A,2.5,3.25,2.8,2.6,3.5,2.65
31/03/2012,Leverkusen,Freiburg,0,2,A,0,1,A,1.7,3.8,4.75,1.65,3.8,5
